"Genesis 1:31","And God saw everything","And God saw everything that he had made, and behold, it was very good. And there was evening and there was morning, the sixth day."
"Deuteronomy 16:17","Every man shall give as he is able","Every man shall give as he is able, according to the blessing of the Lord your God that he has given you."
"Joshua 24:24","And the people said to Joshua","And the people said to Joshua, &ldquo;The Lord our God we will serve, and his voice we will obey.&rdquo;"
"1 Chronicles 16:9","Sing to him, sing praises","Sing to him, sing praises to him; tell of all his wondrous works!"
"Psalm 56:3","When I am afraid","When I am afraid, I put my trust in you."
"Psalm 119:11","I have stored up your word","I have stored up your word in my heart, that I might not sin against you."
"Proverbs 22:1","A good name","A good name is to be chosen rather than great riches, and favor is better than silver or gold."
"Isaiah 6:8","And I heard the voice","And I heard the voice of the Lord saying, &ldquo;Whom shall I send, and who will go for us?&rdquo; Then I said, &ldquo;Here I am! Send me.&rdquo;"
"Isaiah 45:5","I am the Lord","I am the Lord, and there is no other, besides me there is no God; I equip you, though you do not know me."
"Malachi 3:10","Bring the full tithe","Bring the full tithe into the storehouse, that there may be food in my house. And thereby put me to the test, says the Lord of hosts, if I will not open the windows of heaven for you and pour down for you a blessing until there is no more need."
"Matthew 28:19-20","Go therefore and make disciples of all nations","Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all that I have commanded you. And behold, I am with you always, to the end of the age."
"Luke 2:52","And Jesus increased","And Jesus increased in wisdom and in stature and in favor with God and man."
"Luke 19:10","For the Son of Man","For the Son of Man came to seek and to save the lost.""
"John 4:24","God is spirit","God is spirit, and those who worship him must worship in spirit and truth."
"John 13:35","By this all people will know","By this all people will know that you are my disciples, if you have love for one another."
"Acts 4:12","And there is salvation in no one else","And there is salvation in no one else, for there is no other name under heaven given among men by which we must be saved."
"Romans 10:9","because, if you confess with your mouth that Jesus is Lord","because, if you confess with your mouth that Jesus is Lord and believe in your heart that God raised him from the dead, you will be saved."
"1 Corinthians 3:16","Do you not know","Do you not know that you are God's temple and that God's Spirit dwells in you?"
"Ephesians 2:8","For by grace","For by grace you have been saved through faith. And this is not your own doing; it is the gift of God."
"1 Thessalonians 5:18","give thanks in all circumstances","give thanks in all circumstances; for this is the will of God in Christ Jesus for you."
"1 Timothy 4:12","Let no one despise","Let no one despise you for your youth, but set the believers an example in speech, in conduct, in love, in faith, in purity."
"2 Timothy 2:15","Do your best to present","Do your best to present yourself to God as one approved, a worker who has no need to be ashamed, rightly handling the word of truth."
"James 1:22","But be doers","But be doers of the word, and not hearers only, deceiving yourselves."
"1 Peter 4:9","Show hospitality","Show hospitality to one another without grumbling."
"1 John 4:21","And this commandment we have from him","And this commandment we have from him: whoever loves God must also love his brother."
