"God's Covenant with Abraham","Genesis 12:1-3","GCWA",3
"A Shepherd's Song","Psalm 23","ASS",6
"The Suffering Servant","Isaiah 53","TSS",12
"The Twelve Apostles","Matthew 10:2-4","TTA",3
"The Resurrection of Jesus","Matthew 28","TROJ",20
"The Parable of the Good Samaritan","Luke 10:25-37","TPOTGS",13
"Jesus' First Miracle","John 2:1-11","JFM",11
"The Work of the Holy Spirit","John 16:5-15","TWOTHS",11
"The Conversion of Saul","Acts 9:1-30","TCOS",30
"The Love Chapter","1 Corinthians 13","TLC",13
