"Genesis 1:31","And God saw every thing","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day."
"Deuteronomy 16:17","Every man shall give as he is able","Every man shall give as he is able, accord-ing to the blessing of the LORD thy God which he hath given thee."
"Joshua 24:24","And the people said unto Joshua","And the people said unto Joshua, The LORD our God will we serve, and his voice will we obey."
"1 Chronicles 16:9","Sing unto him, sing psalms","Sing unto him, sing psalms unto him, talk ye of all his wondrous works."
"Psalm 56:3","What time I am afraid","What time I am afraid, I will trust in thee."
"Psalm 119:11","Thy word have I hid","Thy word have I hid in mine heart, that I might not sin against thee."
"Proverbs 22:1","A good name","A good name is rather to be chosen than great riches, and loving favour rather than silver and gold."
"Isaiah 6:8","Also I heard the voice","Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I; send me."
"Isaiah 45:5","I am the LORD","I am the LORD, and there is none else, there is no God beside me: I girded thee, though thou hast not known me."
"Malachi 3:10","Bring ye all the tithes","Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the LORD of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that there shall not be room enough to receive it."
"Matthew 28:19-20","Go ye therefore, and teach all nations","Go ye therefore, and teach all nations, bap-tizing them in the name of the Father, and of the Son, and of the Holy Ghost: Teaching them to observe all things whatsoever I have commanded you: and, lo, I am with you alway, even unto the end of the world. Amen."
"Luke 2:52","And Jesus increased","And Jesus increased in wisdom and stature, and in favour with God and man."
"Luke 19:10","For the Son of man","For the Son of man is come to seek and to save that which was lost."
"John 4:24","God is a Spirit","God is a Spirit: and they that worship him must worship him in spirit and in truth."
"John 13:35","By this shall all men know","By this shall all men know that ye are my disciples, if ye have love one to another."
"Acts 4:12","Neither is there salvation in any other","Neither is there salvation in any other: for there is none other name under heaven given among men, whereby we must be saved."
"Romans 10:9","That if thou shalt confess with thy mouth","That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved."
"1 Corinthians 3:16","Know ye not","Know ye not that ye are the temple of God, and that the Spirit of God dwelleth in you?"
"Ephesians 2:8","For by grace","For by grace are ye saved through faith; and that not of yourselves: it is the gift of God."
"1 Thessalonians 5:18","In every thing give thanks","In every thing give thanks: for this is the will of God in Christ Jesus concerning you."
"1 Timothy 4:12","Let no man despise","Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity."
"2 Timothy 2:15","Study to shew","Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth."
"James 1:22","But be ye doers","But be ye doers of the word, and not hear-ers only, deceiving your own selves."
"1 Peter 4:9","Use hospitality","Use hospitality one to another without grudging."
"1 John 4:21","And this commandment have we from him","And this commandment have we from him, That he who loveth God love his brother also."
