Genesis 1:1,In the beginning,In the beginning God created the heavens and the earth.
Exodus 20:12,Honor your father,Honor your father and your mother so that you may have a long life in the land that the Lord your God is giving you.
Psalm 118:24,This is the day that the LORD has made;,This is the day the Lord has made; let us rejoice and be glad in it.
Psalm 119:105,Your word is a lamp for my feet,Your word is a lamp for my feet and a light on my path.
Proverbs 3:5-6,Trust in the LORD with all your heart,"Trust in the LORD with all your heart, and do not rely on your own understanding; think about Him in all your ways, and He will guide you on the right paths."
Proverbs 15:1,A gentle answer turns away anger,"A gentle answer turns away anger, but a harsh word stirs up wrath."
Isaiah 9:6,"For a child will be born for us, a son will be given to us,","For a child will be born for us, a son will be given to us, and the government will be on His shoulders. He will be named Wonderful Counselor, Mighty God, Eternal Father, Prince of Peace."
Isaiah 40:8,The grass withers,"The grass withers, the flowers fade, but the word of our God remains forever."
Nahum 1:7,The LORD is Good,"The LORD is good, a stronghold in a day of distress; He cares for those who take refuge in Him."
Matthew 4:10,"Then Jesus told him, “Go away, Satan! For it is written:","Then Jesus told him, “Go away, Satan! For it is written: Worship the Lord your God, and serve only Him.”"
Matthew 5:16,"In the same way, let your light shine before men,","In the same way, let your light shine before men, so that they may see your good works and give glory to your Father in heaven."
Luke 6:37,"Do not judge, and you will not be judged.","Do not judge, and you will not be judged. Do not condemn, and you will not be condemned. Forgive, and you will be forgiven."
Luke 11:9,"So I say to you, keep asking, and it will be given to you.","So I say to you, keep asking, and it will be given to you. Keep searching, and you will find. Keep knocking, and the door will be opened to you."
John 3:16,For God loved the world in this way,"For God loved the world in this way: He gave His One and Only Son, so that everyone who believes in Him will not perish but have eternal life."
John 15:12,This is My command,This is My command: love one another as I have loved you.
Acts 16:31,"So they said, Believe on the Lord Jesus","So they said, “Believe on the Lord Jesus, and you will be saved–you and your household.”"
Romans 8:28,We know that all things work together for the good,We know that all things work together for the good of those who love God: those who are called according to His purpose.
Romans 12:1,"Therefore, brothers, by the mercies of God","Therefore, brothers, by the mercies of God, I urge you to present your bodies as a living sacrifice, holy and pleasing to God; this is your spiritual worship."
1 Corinthians 4:2,In this regard,"In this regard, it is expected of managers that each one of them be found faithful."
Ephesians 4:32,And be kind and compassionate to one another,"And be kind and compassionate to one another, forgiving one another, just as God also forgave you in Christ. "
Colossians 3:23,Whatever you do,"Whatever you do, do it enthusiastically, as something done for the Lord and not for men."
2 Timothy 1:7,For God has not given us a spirit of fearfulness,"For God has not given us a spirit of fearfulness, but one of power, love, and sound judgment."
2 Timothy 3:16,All Scripture is inspired by God,"All Scripture is inspired by God and is profitable for teaching, for rebuking, for correcting, for training in righteousness."
1 John 1:9,If we confess our sins,"If we confess our sins, He is faithful and righteous to forgive us our sins and to cleanse us from all unrighteousness."
Revelation 4:11,"Our Lord and God, You are worthy","Our Lord and God, You are worthy to receive glory and honor and power, because You have created all things, and because of Your will they exist and were created."
