TTC1,Exodus 20:3,Thou shalt have no other gods before me. 
TTC2,Exodus 20:4,"Thou shalt not make unto thee any graven image, or any likeness [of any thing] that [is] in heaven above, or that [is] in the earth beneath, or that [is] in the water under the earth: "
TTC3,Exodus 20:5,"Thou shalt not bow down thyself to them, nor serve them: for I the LORD thy God [am] a jealous God, visiting the iniquity of the fathers upon the children unto the third and fourth [generation] of them that hate me; "
TTC4,Exodus 20:6,"And shewing mercy unto thousands of them that love me, and keep my commandments. "
TTC5,Exodus 20:7,Thou shalt not take the name of the LORD thy God in vain; for the LORD will not hold him guiltless that taketh his name in vain. 
TTC6,Exodus 20:8,"Remember the sabbath day, to keep it holy. "
TTC7,Exodus 20:9,"Six days shalt thou labour, and do all thy work: "
TTC8,Exodus 20:10,"But the seventh day [is] the sabbath of the LORD thy God: [in it] thou shalt not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that [is] within thy gates: "
TTC9,Exodus 20:11,"For [in] six days the LORD made heaven and earth, the sea, and all that in them [is,] and rested the seventh day: wherefore the LORD blessed the sabbath day, and hallowed it. "
TTC10,Exodus 20:12,Honour thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee. 
TTC11,Exodus 20:13,Thou shalt not kill. 
TTC12,Exodus 20:14,Thou shalt not commit adultery. 
TTC13,Exodus 20:15,Thou shalt not steal. 
TTC14,Exodus 20:16,Thou shalt not bear false witness against thy neighbour. 
TTC15,Exodus 20:17,"Thou shalt not covet thy neighbour's house, thou shalt not covet thy neighbour's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that [is] thy neighbour's. "
APOP1,Psalm 100:1,"Make a joyful noise unto the LORD, all ye lands. "
APOP2,Psalm 100:2,Serve the LORD with gladness: come before his presence with singing. 
APOP3,Psalm 100:3,"Know ye that the LORD he [is] God: [it is] he [that] hath made us, and not we ourselves; [we are] his people, and the sheep of his pasture. "
APOP4,Psalm 100:4,"Enter into his gates with thanksgiving, [and] into his courts with praise: be thankful unto him, [and] bless his name. "
APOP5,Psalm 100:5,For the LORD [is] good; his mercy [is] everlasting; and his truth [endureth] to all generations. 
TGOG1,Isaiah 40:1,"Comfort ye, comfort ye my people, saith your God. "
TGOG2,Isaiah 40:2,"Speak ye comfortably to Jerusalem, and cry unto her, that her warfare is accomplished, that her iniquity is pardoned: for she hath received of the LORD'S hand double for all her sins. "
TGOG3,Isaiah 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God. "
TGOG4,Isaiah 40:4,"Every valley shall be exalted, and every mountain and hill shall be made low: and the crooked shall be made straight, and the rough places plain: "
TGOG5,Isaiah 40:5,"And the glory of the LORD shall be revealed, and all flesh shall see [it] together: for the mouth of the LORD hath spoken [it. ]"
TGOG6,Isaiah 40:6,"The voice said, Cry. And he said, What shall I cry? All flesh [is] grass, and all the goodliness thereof [is] as the flower of the field: "
TGOG7,Isaiah 40:7,"The grass withereth, the flower fadeth: because the spirit of the LORD bloweth upon it: surely the people [is] grass. "
TGOG8,Isaiah 40:8,"The grass withereth, the flower fadeth: but the word of our God shall stand for ever. "
TGOG9,Isaiah 40:9,"O Zion, that bringest good tidings, get thee up into the high mountain; O Jerusalem, that bringest good tidings, lift up thy voice with strength; lift [it] up, be not afraid; say unto the cities of Judah, Behold your God! "
TGOG10,Isaiah 40:10,"Behold, the Lord GOD will come with strong [hand,] and his arm shall rule for him: behold, his reward [is] with him, and his work before him. "
TGOG11,Isaiah 40:11,"He shall feed his flock like a shepherd: he shall gather the lambs with his arm, and carry [them] in his bosom, [and] shall gently lead those that are with young. "
TGOG12,Isaiah 40:12,"Who hath measured the waters in the hollow of his hand, and meted out heaven with the span, and comprehended the dust of the earth in a measure, and weighed the mountains in scales, and the hills in a balance? "
TGOG13,Isaiah 40:13,"Who hath directed the Spirit of the LORD, or [being] his counsellor hath taught him? "
TGOG14,Isaiah 40:14,"With whom took he counsel, and [who] instructed him, and taught him in the path of judgment, and taught him knowledge, and shewed to him the way of understanding? "
TGOG15,Isaiah 40:15,"Behold, the nations [are] as a drop of a bucket, and are counted as the small dust of the balance: behold, he taketh up the isles as a very little thing. "
TGOG16,Isaiah 40:16,"And Lebanon [is] not sufficient to burn, nor the beasts thereof sufficient for a burnt offering. "
TGOG17,Isaiah 40:17,"All nations before him [are] as nothing; and they are counted to him less than nothing, and vanity. "
TGOG18,Isaiah 40:18,To whom then will ye liken God? or what likeness will ye compare unto him? 
TGOG19,Isaiah 40:19,"The workman melteth a graven image, and the goldsmith spreadeth it over with gold, and casteth silver chains. "
TGOG20,Isaiah 40:20,"He that [is] so impoverished that he hath no oblation chooseth a tree [that] will not rot; he seeketh unto him a cunning workman to prepare a graven image, [that] shall not be moved. "
TGOG21,Isaiah 40:21,Have ye not known? have ye not heard? hath it not been told you from the beginning? have ye not understood from the foundations of the earth? 
TGOG22,Isaiah 40:22,"[It is] he that sitteth upon the circle of the earth, and the inhabitants thereof [are] as grasshoppers; that stretcheth out the heavens as a curtain, and spreadeth them out as a tent to dwell in: "
TGOG23,Isaiah 40:23,That bringeth the princes to nothing; he maketh the judges of the earth as vanity. 
TGOG24,Isaiah 40:24,"Yea, they shall not be planted; yea, they shall not be sown: yea, their stock shall not take root in the earth: and he shall also blow upon them, and they shall wither, and the whirlwind shall take them away as stubble. "
TGOG25,Isaiah 40:25,"To whom then will ye liken me, or shall I be equal? saith the Holy One. "
TGOG26,Isaiah 40:26,"Lift up your eyes on high, and behold who hath created these [things,] that bringeth out their host by number: he calleth them all by names by the greatness of his might, for that [he is] strong in power; not one faileth. "
TGOG27,Isaiah 40:27,"Why sayest thou, O Jacob, and speakest, O Israel, My way is hid from the LORD, and my judgment is passed over from my God? "
TGOG28,Isaiah 40:28,"Hast thou not known? hast thou not heard, [that] the everlasting God, the LORD, the Creator of the ends of the earth, fainteth not, neither is weary? [there is] no searching of his understanding. "
TGOG29,Isaiah 40:29,He giveth power to the faint; and to [them that have] no might he increaseth strength. 
TGOG30,Isaiah 40:30,"Even the youths shall faint and be weary, and the young men shall utterly fall: "
TGOG31,Isaiah 40:31,"But they that wait upon the LORD shall renew [their] strength; they shall mount up with wings as eagles; they shall run, and not be weary; [and] they shall walk, and not faint. "
TTOJ1,Matthew 4:1,Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil. 
TTOJ2,Matthew 4:2,"And when he had fasted forty days and forty nights, he was afterward an hungred. "
TTOJ3,Matthew 4:3,"And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread. "
TTOJ4,Matthew 4:4,"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God. "
TTOJ5,Matthew 4:5,"Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple, "
TTOJ6,Matthew 4:6,"And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in [their] hands they shall bear thee up, lest at any time thou dash thy foot against a stone. "
TTOJ7,Matthew 4:7,"Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God. "
TTOJ8,Matthew 4:8,"Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them; "
TTOJ9,Matthew 4:9,"And saith unto him, All these things will I give thee, if thou wilt fall down and worship me. "
