"TTC1","Exodus 20:3","You shall have no other gods before me."
"TTC2","Exodus 20:4","You shall not make for yourself an image in the form of anything in heaven above or on the earth beneath or in the waters below."
"TTC3","Exodus 20:5","You shall not bow down to them or worship them; for I, the Lord your God, am a jealous God, punishing the children for the sin of the parents to the third and fourth generation of those who hate me,"
"TTC4","Exodus 20:6","but showing love to a thousand generations of those who love me and keep my commandments."
"TTC5","Exodus 20:7","You shall not misuse the name of the Lord your God, for the Lord will not hold anyone guiltless who misuses his name."
"TTC6","Exodus 20:8","Remember the Sabbath day by keeping it holy."
"TTC7","Exodus 20:9","Six days you shall labor and do all your work,"
"TTC8","Exodus 20:10","but the seventh day is a sabbath to the Lord your God. On it you shall not do any work, neither you, nor your son or daughter, nor your male or female servant, nor your animals, nor any foreigner residing in your towns."
"TTC9","Exodus 20:11","For in six days the Lord made the heavens and the earth, the sea, and all that is in them, but he rested on the seventh day. Therefore the Lord blessed the Sabbath day and made it holy."
"TTC10","Exodus 20:12","Honor your father and your mother, so that you may live long in the land the Lord your God is giving you."
"TTC11","Exodus 20:13","You shall not murder."
"TTC12","Exodus 20:14","You shall not commit adultery."
"TTC13","Exodus 20:15","You shall not steal."
"TTC14","Exodus 20:16","You shall not give false testimony against your neighbor."
"TTC15","Exodus 20:17","You shall not covet your neighbor&lsquo;s house. You shall not covet your neighbor&lsquo;s wife, or his male or female servant, his ox or donkey, or anything that belongs to your neighbor."
"APOP1","Psalm 100:1","Shout for joy to the Lord, all the earth."
"APOP2","Psalm 100:2","Worship the Lord with gladness; come before him with joyful songs."
"APOP3","Psalm 100:3","Know that the Lord is God. It is he who made us, and we are his; we are his people, the sheep of his pasture."
"APOP4","Psalm 100:4","Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name."
"APOP5","Psalm 100:5","For the Lord is good and his love endures forever; his faithfulness continues through all generations."
"TGOG1","Isaiah 40:1","Comfort, comfort my people, says your God."
"TGOG2","Isaiah 40:2","Speak tenderly to Jerusalem, and proclaim to her that her hard service has been completed, that her sin has been paid for, that she has received from the Lord&lsquo;s hand double for all her sins."
"TGOG3","Isaiah 40:3","A voice of one calling: &ldquo;In the wilderness prepare the way for the Lord; make straight in the desert a highway for our God."
"TGOG4","Isaiah 40:4","Every valley shall be raised up, every mountain and hill made low; the rough ground shall become level, the rugged places a plain."
"TGOG5","Isaiah 40:5","And the glory of the Lord will be revealed, and all people will see it together.  For the mouth of the Lord has spoken."
"TGOG6","Isaiah 40:6","A voice says, &ldquo;Cry out.&rsquo; And I said, &ldquo;What shall I cry?&rsquo;&ldquo;All people are like grass, and all their faithfulness is like the flowers of the field."
"TGOG7","Isaiah 40:7","The grass withers and the flowers fall, because the breath of the Lord blows on them.  Surely the people are grass."
"TGOG8","Isaiah 40:8","The grass withers and the flowers fall, but the word of our God endures forever.&rdquo;"
"TGOG9","Isaiah 40:9","You who bring good news to Zion, go up on a high mountain.  You who bring good news to Jerusalem, lift up your voice with a shout, lift it up, do not be afraid; say to the towns of Judah, &ldquo;Here is your God!&rdquo;"
"TGOG10","Isaiah 40:10","See, the Sovereign Lord comes with power, and he rules with a mighty arm.  See, his reward is with him, and his recompense accompanies him."
"TGOG11","Isaiah 40:11","He tends his flock like a shepherd: He gathers the lambs in his arms and carries them close to his heart; he gently leads those that have young."
"TGOG12","Isaiah 40:12","Who has measured the waters in the hollow of his hand, or with the breadth of his hand marked off the heavens?  Who has held the dust of the earth in a basket, or weighed the mountains on the scales and the hills in a balance?"
"TGOG13","Isaiah 40:13","Who can fathom the Spirit of the Lord, or instruct the Lord as his counselor?"
"TGOG14","Isaiah 40:14","Whom did the Lord consult to enlighten him, and who taught him the right way?  Who was it that taught him knowledge, or showed him the path of understanding?"
"TGOG15","Isaiah 40:15","Surely the nations are like a drop in a bucket; they are regarded as dust on the scales; he weighs the islands as though they were fine dust."
"TGOG16","Isaiah 40:16","Lebanon is not sufficient for altar fires, nor its animals enough for burnt offerings."
"TGOG17","Isaiah 40:17","Before him all the nations are as nothing; they are regarded by him as worthless and less than nothing."
"TGOG18","Isaiah 40:18","With whom, then, will you compare God?  To what image will you liken him?"
"TGOG19","Isaiah 40:19","As for an idol, a metalworker casts it, and a goldsmith overlays it with gold and fashions silver chains for it."
"TGOG20","Isaiah 40:20","A person too poor to present such an offering selects wood that will not rot; they look for a skilled worker to set up an idol that will not topple."
"TGOG21","Isaiah 40:21","Do you not know?  Have you not heard?  Has it not been told you from the beginning?  Have you not understood since the earth was founded?"
"TGOG22","Isaiah 40:22","He sits enthroned above the circle of the earth, and its people are like grasshoppers.  He stretches out the heavens like a canopy, and spreads them out like a tent to live in."
"TGOG23","Isaiah 40:23","He brings princes to naught and reduces the rulers of this world to nothing."
"TGOG24","Isaiah 40:24","No sooner are they planted, no sooner are they sown, no sooner do they take root in the ground, than he blows on them and they wither, and a whirlwind sweeps them away like chaff."
"TGOG25","Isaiah 40:25","&ldquo;To whom will you compare me?  Or who is my equal?&rdquo; says the Holy One."
"TGOG26","Isaiah 40:26","Lift up your eyes and look to the heavens: Who created all these?  He who brings out the starry host one by one and calls forth each of them by name.  Because of his great power and mighty strength, not one of them is missing."
"TGOG27","Isaiah 40:27","Why do you complain, Jacob?  Why do you say, Israel, &ldquo;My way is hidden from the Lord; my cause is disregarded by my God&rdquo;?"
"TGOG28","Isaiah 40:28","Do you not know?  Have you not heard?  The Lord is the everlasting God, the Creator of the ends of the earth.  He will not grow tired or weary, and his understanding no one can fathom."
"TGOG29","Isaiah 40:29","He gives strength to the weary and increases the power of the weak."
"TGOG30","Isaiah 40:30","Even youths grow tired and weary, and young men stumble and fall;"
"TGOG31","Isaiah 40:31","but those who hope in the Lord will renew their strength.  They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."
"TTOJ1","Matthew 4:1","Then Jesus was led by the Spirit into the wilderness to be tempted by the devil."
"TTOJ2","Matthew 4:2","After fasting forty days and forty nights, he was hungry."
"TTOJ3","Matthew 4:3","The tempter came to him and said, &ldquo;If you are the Son of God, tell these stones to become bread.&rdquo;"
"TTOJ4","Matthew 4:4","Jesus answered, &ldquo;It is written: &lsquo;Man shall not live on bread alone, but on every word that comes from the mouth of God.&rdquo;"
"TTOJ5","Matthew 4:5","Then the devil took him to the holy city and had him stand on the highest point of the temple."
"TTOJ6","Matthew 4:6","&ldquo;If you are the Son of God,&rdquo; he said, &ldquo;throw yourself down. For it is written: &ldquo;&lsquo;He will command his angels concerning you, and they will lift you up in their hands, so that you will not strike your foot against a stone.&rdquo;"
"TTOJ7","Matthew 4:7","Jesus answered him, &ldquo;It is also written: &lsquo;Do not put the Lord your God to the test.&rdquo;"
"TTOJ8","Matthew 4:8","Again, the devil took him to a very high mountain and showed him all the kingdoms of the world and their splendor."
"TTOJ9","Matthew 4:9","&ldquo;All this I will give you,&rdquo; he said, &ldquo;if you will bow down and worship me.&rdquo;"
"TTOJ10","Matthew 4:10","Jesus said to him, &ldquo;Away from me, Satan! For it is written: &lsquo;Worship the Lord your God, and serve him only.&rdquo;"
"TTOJ11","Matthew 4:11","Then the devil left him, and angels came and attended him."
"TSOM1","Matthew 5:1","Now when Jesus saw the crowds, he went up on a mountainside and sat down. His disciples came to him,"
"TSOM2","Matthew 5:2","and he began to teach them.  He said:"
"TSOM3","Matthew 5:3","&ldquo;Blessed are the poor in spirit, for theirs is the kingdom of heaven."
"TSOM4","Matthew 5:4","Blessed are those who mourn, for they will be comforted."
"TSOM5","Matthew 5:5","Blessed are the meek, for they will inherit the earth."
"TSOM6","Matthew 5:6","Blessed are those who hunger and thirst for righteousness, for they will be filled."
"TSOM7","Matthew 5:7","Blessed are the merciful, for they will be shown mercy."
"TSOM8","Matthew 5:8","Blessed are the pure in heart, for they will see God."
"TSOM9","Matthew 5:9","Blessed are the peacemakers, for they will be called children of God."
"TSOM10","Matthew 5:10","Blessed are those who are persecuted because of righteousness, for theirs is the kingdom of heaven."
"TSOM11","Matthew 5:11","&ldquo;Blessed are you when people insult you, persecute you and falsely say all kinds of evil against you because of me."
"TSOM12","Matthew 5:12","Rejoice and be glad, because great is your reward in heaven, for in the same way they persecuted the prophets who were before you."
"TSOM13","Matthew 5:13","&ldquo;You are the salt of the earth. But if the salt loses its saltiness, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled underfoot."
"TSOM14","Matthew 5:14","&ldquo;You are the light of the world. A town built on a hill cannot be hidden."
"TSOM15","Matthew 5:15","Neither do people light a lamp and put it under a bowl. Instead they put it on its stand, and it gives light to everyone in the house."
"TSOM16","Matthew 5:16","In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven."
"TSOM17","Matthew 5:17","&ldquo;Do not think that I have come to abolish the Law or the Prophets; I have not come to abolish them but to fulfill them."
"TSOM18","Matthew 5:18","For truly I tell you, until heaven and earth disappear, not the smallest letter, not the least stroke of a pen, will by any means disappear from the Law until everything is accomplished."
"TSOM19","Matthew 5:19","Therefore anyone who sets aside one of the least of these commands and teaches others accordingly will be called least in the kingdom of heaven, but whoever practices and teaches these commands will be called great in the kingdom of heaven."
"TSOM20","Matthew 5:20","For I tell you that unless your righteousness surpasses that of the Pharisees and the teachers of the law, you will certainly not enter the kingdom of heaven."
"TSOM21","Matthew 5:21","&ldquo;You have heard that it was said to the people long ago, &lsquo;You shall not murder, and anyone who murders will be subject to judgment.&rsquo;"
"TSOM22","Matthew 5:22","But I tell you that anyone who is angry with a brother or sister will be subject to judgment. Again, anyone who says to a brother or sister, &lsquo;Raca,&rsquo; is answerable to the court. And anyone who says, &lsquo;You fool!&rsquo; will be in danger of the fire of hell."
"TSOM23","Matthew 5:23","&ldquo;Therefore, if you are offering your gift at the altar and there remember that your brother or sister has something against you,"
"TSOM24","Matthew 5:24","leave your gift there in front of the altar. First go and be reconciled to them; then come and offer your gift."
"TSOM25","Matthew 5:25","&ldquo;Settle matters quickly with your adversary who is taking you to court. Do it while you are still together on the way, or your adversary may hand you over to the judge, and the judge may hand you over to the officer, and you may be thrown into prison."
"TSOM26","Matthew 5:26","Truly I tell you, you will not get out until you have paid the last penny."
"TSOM27","Matthew 5:27","&ldquo;You have heard that it was said, &lsquo;You shall not commit adultery.&rsquo;"
"TSOM28","Matthew 5:28","But I tell you that anyone who looks at a woman lustfully has already committed adultery with her in his heart."
"TSOM29","Matthew 5:29","If your right eye causes you to stumble, gouge it out and throw it away. It is better for you to lose one part of your body than for your whole body to be thrown into hell."
"TSOM30","Matthew 5:30","And if your right hand causes you to stumble, cut it off and throw it away. It is better for you to lose one part of your body than for your whole body to go into hell."
"TSOM31","Matthew 5:31","&ldquo;It has been said, &lsquo;Anyone who divorces his wife must give her a certificate of divorce.&rsquo;"
"TSOM32","Matthew 5:32","But I tell you that anyone who divorces his wife, except for sexual immorality, makes her the victim of adultery, and anyone who marries a divorced woman commits adultery."
"TSOM33","Matthew 5:33","&ldquo;Again, you have heard that it was said to the people long ago, &lsquo;Do not break your oath, but fulfill to the Lord the vows you have made.&rsquo;"
"TSOM34","Matthew 5:34","But I tell you, do not swear an oath at all: either by heaven, for it is God&rsquo;s throne;"
"TSOM35","Matthew 5:35","or by the earth, for it is his footstool; or by Jerusalem, for it is the city of the Great King."
"TSOM36","Matthew 5:36","And do not swear by your head, for you cannot make even one hair white or black."
"TSOM37","Matthew 5:37","All you need to say is simply &lsquo;Yes&rsquo; or &lsquo;No&rsquo;; anything beyond this comes from the evil one."
