"Genesis 1:1","In the beginning","In the beginning God created the heavens and the earth."
"Exodus 20:12","Honor your father","Honor your father and your mother, so that you may live long in the land the LORD your God is giving you."
"Psalm 118:24","The Lord has done it this very day","The Lord has done it this very day; let us rejoice today and be glad."
"Psalm 119:105","Your word is a lamp for my feet","Your word is a lamp for my feet, a light on my path."
"Proverbs 3:5-6","Trust in the L ORD with all your heart","Trust in the LORD with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight."
"Proverbs 15:1","A gentle answer turns away wrath","A gentle answer turns away wrath, but a harsh word stirs up anger."
"Isaiah 9:6","For to us a child is born, to us a son is given","For to us a child is born, to us a son is given, and the government will be on his shoulders. And he will be called Wonderful Counselor, mighty God, Everlasting Father, Prince of Peace."
"Isaiah 40:8","The grass withers","The grass withers and the flowers fall, but the word of our God endures forever."
"Nahum 1:7","The LORD is Good","The LORD is Good, a refuge in times of trouble. He cares for those who trust in him."
"Matthew 4:10","Jesus said to him, Away from me, Satan! For it is written","Jesus said to him, &ldquo;Away from me, Satan! For it is written: &lsquo;Worship the Lord your God, and serve him only.&rsquo;&rdquo;"
"Matthew 5:16","In the same way, let your light shine","In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven."
"Luke 6:37","Do not judge, and you will not be judged","Do not judge, and you will not be judged. Do not condemn and you will not be condemned. Forgive, and you will be forgiven."
"Luke 11:9","So I say to you: Ask and it will be given to you","So I say to you: Ask and it will be given to you; seek and you will find; knock and the door will be opened to you."
"John 3:16","For God so loved the world","For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life."
"John 15:12","My command is this","My command is this: Love each other as I have loved you."
"Acts 16:31","They replied, Believe in the Lord Jesus","They replied, &ldquo;Believe in the Lord Jesus and you will be saved&mdash;you and your household.&rdquo;"
"Romans 8:28","And we know that in all things God works for the good","And we know that in all things God works for the good of those who love him, who have been called according to his purpose."
"Romans 12:1","Therefore, I urge you, brothers and sisters, in view of God&rsquo;s mercy","Therefore, I urge you, brothers and sisters, in view of God&rsquo;s mercy, to offer your bodies as a living sacrifice, holy and pleasing to God&mdash;this is your true and proper worship."
"1 Corinthians 4:2","Now it is required","Now it is required that those who have been given a trust must prove faithful."
"Ephesians 4:32","Be kind and compassionate to one another","Be kind and compassionate to one another, forgiving each other, just as in Christ God forgave you."
"Colossians 3:23","Whatever you do","Whatever you do, work at it with all your heart, as working for the Lord, not for human masters."
"2 Timothy 1:7","For the Spirit God gave us does not make us timid","For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline."
"2 Timothy 3:16","All Scripture is God-breathed","All Scripture is God-breathed and is useful for teaching, rebuking, correcting and training in righteousness."
"1 John 1:9","If we confess our sins","If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness."
"Revelation 4:11","You are worthy, our Lord and God","&ldquo;You are worthy, our Lord and God, to receive glory and honor and power, for you created all things, and by your will they were created and have their being.&rdquo;"
