"TC1","Genesis 1:1","In the beginning, God created the heavens and the earth. "
"TC2","Genesis 1:2","The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters. "
"TC3","Genesis 1:3","And God said, &quot;Let there be light,&quot; and there was light. "
"TC4","Genesis 1:4","And God saw that the light was good. And God separated the light from the darkness. "
"TC5","Genesis 1:5","God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day. "
"TC6","Genesis 1:6","And God said, &quot;Let there be an expanse in the midst of the waters, and let it separate the waters from the waters.&quot; "
"TC7","Genesis 1:7","And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so. "
"TC8","Genesis 1:8","And God called the expanse Heaven. And there was evening and there was morning, the second day. "
"TC9","Genesis 1:9","And God said, &quot;Let the waters under the heavens be gathered together into one place, and let the dry land appear.&quot; And it was so. "
"TC10","Genesis 1:10","God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good. "
"TC11","Genesis 1:11","And God said, &quot;Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth.&quot; And it was so. "
"TC12","Genesis 1:12","The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good. "
"TC13","Genesis 1:13","And there was evening and there was morning, the third day. "
"TC14","Genesis 1:14","And God said, &quot;Let there be lights in the expanse of the heavens to separate the day from the night. And let them be for signs and for seasons, and for days and years, "
"TC15","Genesis 1:15","and let them be lights in the expanse of the heavens to give light upon the earth.&quot; And it was so. "
"TC16","Genesis 1:16","And God made the two great lights--the greater light to rule the day and the lesser light to rule the night--and the stars. "
"TC17","Genesis 1:17","And God set them in the expanse of the heavens to give light on the earth, "
"TC18","Genesis 1:18","to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good. "
"TC19","Genesis 1:19","And there was evening and there was morning, the fourth day. "
"TC20","Genesis 1:20","And God said, &quot;Let the waters swarm with swarms of living creatures, and let birds fly above the earth across the expanse of the heavens.&quot; "
