"TC1","Genesis 1:1","In the beginning God created the heavens and the earth. "
"TC2","Genesis 1:2","Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. "
"TC3","Genesis 1:3","Then God said, &quot;Let there be light,&quot; and there was light. "
"TC4","Genesis 1:4","God saw that the light was good, and God separated the light from the darkness. "
"TC5","Genesis 1:5","God called the light &quot;day,&quot; and He called the darkness &quot;night.&quot; Evening came, and then morning: the first day. "
"TC6","Genesis 1:6","Then God said, &quot;Let there be an expanse between the waters, separating water from water.&quot; "
"TC7","Genesis 1:7","So God made the expanse and separated the water under the expanse from the water above the expanse. And it was so. "
"TC8","Genesis 1:8","God called the expanse &quot;sky.&quot; Evening came, and then morning: the second day. "
"TC9","Genesis 1:9","Then God said, &quot;Let the water under the sky be gathered into one place, and let the dry land appear.&quot; And it was so. "
"TC10","Genesis 1:10","God called the dry land &quot;earth,&quot; and He called the gathering of the water &quot;seas.&quot; And God saw that it was good. "
"TC11","Genesis 1:11","Then God said, &quot;Let the earth produce vegetation: seed-bearing plants, and fruit trees on the earth bearing fruit with seed in it, according to their kinds.&quot; And it was so. "
"TC12","Genesis 1:12","The earth brought forth vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it, according to their kinds. And God saw that it was good. "
"TC13","Genesis 1:13","Evening came, and then morning: the third day. "
"TC14","Genesis 1:14","Then God said, &quot;Let there be lights in the expanse of the sky to separate the day from the night. They will serve as signs for festivals and for days and years. "
"TC15","Genesis 1:15","They will be lights in the expanse of the sky to provide light on the earth.&quot; And it was so. "
"TC16","Genesis 1:16","God made the two great lights-the greater light to have dominion over the day and the lesser light to have dominion over the night-as well as the stars. "
"TC17","Genesis 1:17","God placed them in the expanse of the sky to provide light on the earth, "
"TC18","Genesis 1:18","to dominate the day and the night, and to separate light from darkness. And God saw that it was good. "
"TC19","Genesis 1:19","Evening came, and then morning: the fourth day. "
"TC20","Genesis 1:20","Then God said, &quot;Let the water swarm with living creatures, and let birds fly above the earth across the expanse of the sky.&quot; "
"TC21","Genesis 1:21","So God created the large sea-creatures and every living creature that moves and swarms in the water, according to their kinds. [He also created] every winged bird according to its kind. And God saw that it was good. "
"TC22","Genesis 1:22","So God blessed them, &quot;Be fruitful, multiply, and fill the waters of the seas, and let the birds multiply on the earth.&quot; "
"TC23","Genesis 1:23","Evening came, and then morning: the fifth day. "
"TC24","Genesis 1:24","Then God said, &quot;Let the earth produce living creatures according to their kinds: livestock, creatures that crawl, and the wildlife of the earth according to their kinds.&quot; And it was so. "
"TC25","Genesis 1:25","So God made the wildlife of the earth according to their kinds, the livestock according to their kinds, and creatures that crawl on the ground according to their kinds. And God saw that it was good. "
"TC26","Genesis 1:26","Then God said, &quot;Let Us make man in Our image, according to Our likeness. They will rule the fish of the sea, the birds of the sky, the livestock, all the earth, and the creatures that crawl on the earth.&quot; "
"TC27","Genesis 1:27","So God created man in His own image; He created him in the image of God; He created them male and female. "
"TC28","Genesis 1:28","God blessed them, and God said to them, &quot;Be fruitful, multiply, fill the earth, and subdue it. Rule the fish of the sea, the birds of the sky, and every creature that crawls on the earth.&quot; "
"TC29","Genesis 1:29","God also said, &quot;Look, I have given you every seed-bearing plant on the surface of the entire earth, and every tree whose fruit contains seed. This food will be for you, "
"TC30","Genesis 1:30","for all the wildlife of the earth, for every bird of the sky, and for every creature that crawls on the earth-everything having the breath of life in it. [I have given] every green plant for food.&quot; And it was so. "
"TC31","Genesis 1:31","God saw all that He had made, and it was very good. Evening came, and then morning: the sixth day."
"TC32","Genesis 2:1","So the heavens and the earth and everything in them were completed. "
"TC33","Genesis 2:2","By the seventh day, God completed His work that He had done, and He rested on the seventh day from all His work that He had done. "
"TC34","Genesis 2:3","God blessed the seventh day and declared it holy, for on it He rested from His work of creation."
