"TC1","Genesis 1:1","In the beginning God created the heaven and the earth."
"TC2","Genesis 1:2","And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters."
"TC3","Genesis 1:3","And God said, Let there be light: and there was light."
"TC4","Genesis 1:4","And God saw the light, that it was good: and God divided the light from the darkness."
"TC5","Genesis 1:5","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day."
"TC6","Genesis 1:6","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
"TC7","Genesis 1:7","And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so."
"TC8","Genesis 1:8","And God called the firmament Heaven. And the evening and the morning were the second day."
"TC9","Genesis 1:9","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so."
"TC10","Genesis 1:10","And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good."
"TC11","Genesis 1:11","And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so."
"TC12","Genesis 1:12","And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good."
"TC13","Genesis 1:13","And the evening and the morning were the third day."
"TC14","Genesis 1:14","And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:"
"TC15","Genesis 1:15","And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so."
"TC16","Genesis 1:16","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
"TC17","Genesis 1:17","And God set them in the firmament of the heaven to give light upon the earth,"
"TC18","Genesis 1:18","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good."
"TC19","Genesis 1:19","And the evening and the morning were the fourth day."
"TC20","Genesis 1:20","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven."
"TC21","Genesis 1:21","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good."
"TC22","Genesis 1:22","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth."
"TC23","Genesis 1:23","And the evening and the morning were the fifth day."
"TC24","Genesis 1:24","And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so."
"TC25","Genesis 1:25","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good."
"TC26","Genesis 1:26","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth."
"TC27","Genesis 1:27","So God created man in his own image, in the image of God created he him; male and female created he them."
"TC28","Genesis 1:28","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth."
"TC29","Genesis 1:29","And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat."
"TC30","Genesis 1:30","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so."
"TC31","Genesis 1:31","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day."
"TC32","Genesis 2:1","Thus the heavens and the earth were finished, and all the host of them."
"TC33","Genesis 2:2","And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made."
"TC34","Genesis 2:3","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made."
"TILE1","Exodus 12:37","And the children of Israel journeyed from Rameses to Succoth, about six hundred thousand on foot that were men, beside children."
"TILE2","Exodus 12:38","And a mixed multitude went up also with them; and flocks, and herds, even very much cattle."
"TILE3","Exodus 12:39","And they baked unleavened cakes of the dough which they brought forth out of Egypt, for it was not leavened; because they were thrust out of Egypt, and could not tarry, neither had they prepared for themselves any victual."
"TILE4","Exodus 12:40","Now the sojourning of the children of Israel, who dwelt in Egypt, was four hundred and thirty years."
"TILE5","Exodus 12:41","And it came to pass at the end of the four hundred and thirty years, even the selfsame day it came to pass, that all the hosts of the Lord went out from the land of Egypt."
"TILE6","Exodus 12:42","It is a night to be much observed unto the Lord for bringing them out from the land of Egypt: this is that night of the Lord to be observed of all the children of Israel in their generations."
"APFF1","Psalm 51:1","Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions."
"APFF2","Psalm 51:2","Wash me thoroughly from mine iniquity, and cleanse me from my sin."
"APFF3","Psalm 51:3","For I acknowledge my transgressions: and my sin is ever before me."
"APFF4","Psalm 51:4","Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest."
"APFF5","Psalm 51:5","Behold, I was shapen in iniquity; and in sin did my mother conceive me."
"APFF6","Psalm 51:6","Behold, thou desirest truth in the inward parts: and in the hidden part thou shalt make me to know wisdom."
"APFF7","Psalm 51:7","Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow."
"APFF8","Psalm 51:8","Make me to hear joy and gladness; that the bones which thou hast broken may rejoice."
"APFF9","Psalm 51:9","Hide thy face from my sins, and blot out all mine iniquities."
"APFF10","Psalm 51:10","Create in me a clean heart, O God; and renew a right spirit within me."
"APFF11","Psalm 51:11","Cast me not away from thy presence; and take not thy holy spirit from me."
"APFF12","Psalm 51:12","Restore unto me the joy of thy salvation; and uphold me with thy free spirit."
"APFF13","Psalm 51:13","Then will I teach transgressors thy ways; and sinners shall be converted unto thee."
"APFF14","Psalm 51:14","Deliver me from bloodguiltiness, O God, thou God of my salvation: and my tongue shall sing aloud of thy righteousness."
"APFF15","Psalm 51:15","O Lord, open thou my lips; and my mouth shall shew forth thy praise."
"APFF16","Psalm 51:16","For thou desirest not sacrifice; else would I give it: thou delightest not in burnt offering.else…: or, that I should"
"APFF17","Psalm 51:17","The sacrifices of God are a broken spirit: a broken and a contrite heart, O God, thou wilt not despise."
"APFF18","Psalm 51:18","Do good in thy good pleasure unto Zion: build thou the walls of Jerusalem."
"APFF19","Psalm 51:19","Then shalt thou be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: then shall they offer bullocks upon thine altar."
"TBOJ1","Matthew 3:13","Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him."
"TBOJ2","Matthew 3:14","But John forbad him, saying, I have need to be baptized of thee, and comest thou to me?"
"TBOJ3","Matthew 3:15","And Jesus answering said unto him, Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him."
"TBOJ4","Matthew 3:16","And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:"
"TBOJ5","Matthew 3:17","And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased."
"TMP1","Matthew 6:5","And when thou prayest, thou shalt not be as the hypocrites are: for they love to pray standing in the synagogues and in the corners of the streets, that they may be seen of men. Verily I say unto you, They have their reward."
"TMP2","Matthew 6:6","But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret; and thy Father which seeth in secret shall reward thee openly."
"TMP3","Matthew 6:7","But when ye pray, use not vain repetitions, as the heathen do: for they think that they shall be heard for their much speaking."
"TMP4","Matthew 6:8","Be not ye therefore like unto them: for your Father knoweth what things ye have need of, before ye ask him."
"TMP5","Matthew 6:9","After this manner therefore pray ye: Our Father which art in heaven, Hallowed be thy name."
"TMP6","Matthew 6:10","Thy kingdom come. Thy will be done in earth, as it is in heaven."
"TMP7","Matthew 6:11","Give us this day our daily bread."
"TMP8","Matthew 6:12","And forgive us our debts, as we forgive our debtors."
"TMP9","Matthew 6:13","And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen."
"TMP10","Matthew 6:14","For if ye forgive men their trespasses, your heavenly Father will also forgive you:"
"TMP11","Matthew 6:15","But if ye forgive not men their trespasses, neither will your Father forgive your trespasses."
"TGC1","Mark 12:28","And one of the scribes came, and having heard them reasoning together, and perceiving that he had answered them well, asked him, Which is the first commandment of all?"
"TGC2","Mark 12:29","And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:"
"TGC3","Mark 12:30","And thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment."
"TGC4","Mark 12:31","And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these."
"TGC5","Mark 12:32","And the scribe said unto him, Well, Master, thou hast said the truth: for there is one God; and there is none other but he:"
"TGC6","Mark 12:33","And to love him with all the heart, and with all the understanding, and with all the soul, and with all the strength, and to love his neighbour as himself, is more than all whole burnt offerings and sacrifices."
"TGC7","Mark 12:34","And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question."
"BOJ1","Luke 2:1","And it came to pass in those days, that there went out a decree from Caesar Augustus, that all the world should be taxed."
"BOJ2","Luke 2:2","(And this taxing was first made when Cyrenius was governor of Syria.)"
"BOJ3","Luke 2:3","And all went to be taxed, every one into his own city."
"BOJ4","Luke 2:4","And Joseph also went up from Galilee, out of the city of Nazareth, into Judaea, unto the city of David, which is called Bethlehem; (because he was of the house and lineage of David:)"
"BOJ5","Luke 2:5","To be taxed with Mary his espoused wife, being great with child."
"BOJ6","Luke 2:6","And so it was, that, while they were there, the days were accomplished that she should be delivered."
