"TC1","Genesis 1:1","In the beginning God created the heavens and the earth."
"TC2","Genesis 1:2","Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters."
"TC3","Genesis 1:3","And God said, &ldquo;Let there be light,&rdquo; and there was light."
"TC4","Genesis 1:4","God saw that the light was good, and he separated the light from the darkness."
"TC5","Genesis 1:5","God called the light &ldquo;day,&rdquo; and the darkness he called &ldquo;night.&rdquo; And there was evening, and there was morning&mdash;the first day."
"TC6","Genesis 1:6","And God said, &ldquo;Let there be a vault between the waters to separate water from water.&rdquo;"
"TC7","Genesis 1:7","So God made the vault and separated the water under the vault from the water above it. And it was so."
"TC8","Genesis 1:8","God called the vault &ldquo;sky.&rdquo; And there was evening, and there was morning&mdash;the second day."
"TC9","Genesis 1:9","And God said, &ldquo;Let the water under the sky be gathered to one place, and let dry ground appear.&rdquo; And it was so."
"TC10","Genesis 1:10","God called the dry ground &ldquo;land,&rdquo; and the gathered waters he called &ldquo;seas.&rdquo; And God saw that it was good."
"TC11","Genesis 1:11","Then God said, &ldquo;Let the land produce vegetation: seed-bearing plants and trees on the land that bear fruit with seed in it, according to their various kinds.&rdquo; And it was so."
"TC12","Genesis 1:12","The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good."
"TC13","Genesis 1:13","And there was evening, and there was morning&mdash;the third day."
"TC14","Genesis 1:14","And God said, &ldquo;Let there be lights in the vault of the sky to separate the day from the night, and let them serve as signs to mark sacred times, and days and years,"
"TC15","Genesis 1:15","and let them be lights in the vault of the sky to give light on the earth.&rdquo; And it was so."
"TC16","Genesis 1:16","God made two great lights&mdash;the greater light to govern the day and the lesser light to govern the night. He also made the stars."
"TC17","Genesis 1:17","God set them in the vault of the sky to give light on the earth,"
"TC18","Genesis 1:18","to govern the day and the night, and to separate light from darkness. And God saw that it was good."
"TC19","Genesis 1:19","And there was evening, and there was morning&mdash;the fourth day."
"TC20","Genesis 1:20","And God said, &ldquo;Let the water teem with living creatures, and let birds fly above the earth across the vault of the sky.&rdquo;"
"TC21","Genesis 1:21","So God created the great creatures of the sea and every living thing with which the water teems and that moves about in it, according to their kinds, and every winged bird according to its kind. And God saw that it was good."
"TC22","Genesis 1:22","God blessed them and said, &ldquo;Be fruitful and increase in number and fill the water in the seas, and let the birds increase on the earth.&rdquo;"
"TC23","Genesis 1:23","And there was evening, and there was morning&mdash;the fifth day."
