"Genesis 1:27","So God created mankind in his own image","So God created mankind in his own image, in the image of God he created them; male and female he created them."
"Leviticus 22:31","Keep my commands","&ldquo;Keep my commands and follow them. I am the Lord.&rdquo; "
"Deuteronomy 6:5","Love the Lord your God","Love the Lord your God with all your heart and with all your soul and with all your strength."
"1 Chronicles 16:8","Give praise to the Lord","Give priase to the Lord, proclaim his name; make known among the nations what he has done."
"Job 37:14","Listen to this, Job.","&ldquo;Listen to this, Job; stop and consider God&rsquo;s wonders.&rdquo;"
"Psalm 19:14","May the words of my mouth","May the words of my mouth and this meditation of my heart be pleasing in your sight, Lord, my Rock and my Redeemer."
"Psalm 54:2","Hear my prayer, O God","Hear my prayer, O God; listen to the words of my mouth."
"Psalm 145:9","The Lord is good to all","The Lord is good to all; he has compassion on all he has made."
"Proverbs 8:33","Listen to my instruction","Listen to my instruction and be wise; do not disregard it."
"Proverbs 20:11","Even small children are known","Even small children are known by their actions, so is their conduct really pure and upright?" 
"Micah 6:8","He has shown you, O mortal, what is good.","He has shown you, O mortal, what is good. And what does the LORD require of you? To act justly and to love mercy and to walk humbly with your God."
"Matthew 5:44","But I tell you, love your enemies","But I tell you, love your enemies and pray for those who persecute you."
"Matthew 21:22","If you believe, you","If you believe, you will receive whatever you ask for in prayer."
"Mark 13:31","Heaven and earth will pass","Heaven and earth will pass away, but my words will never pass away. "
"Luke 6:31","Do to others as you would","Do to others as you would have them do to you."
"John 8:32","Then you will know","Then you will know the truth, and the truth will set you free. "
"John 15:13","Greater love has no one","Greater love has no one than this: to lay down one&rsquo;s life for one&rsquo;s friends."
"Acts 1:8","But you will receive power","But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth."
"Romans 14:12","So then, each of us","So then, each of us will give an account of ourselves to God."
"1 Corinthians 10:31","So whether you eat","So whether you eat or drink or whatever you do, do it all for the glory of God. "
"1 Corinthians 14:40","But everything should be","But everything should be done in a fitting and orderly way."
"Ephesians 6:1","Children, obey","Children, obey your parents in the Lord, for this is right."
"Philippians 4:13","I can do all this","I can do all this through him who gives me strength."
"James 1:19","My dear brothers and sisters, take note of this: Everyone should be","My dear brothers and sisters, take note of this: Everyone should be quick to listen, slow to speak and slow to become angry."
"1 John 4:19","We love","We love because he first loved us."
